x, y
481.02391577570893, 6343.960236119819
495.40772667584326, 7216.2335411381
509.1921892424218, 8306.525225474132
523.5760459013234, 11141.263625973088
535.9620747817054, 15720.598583445611
547.14949851251, 20953.98867887125
559.535527392892, 26623.565373742895
570.523214104612, 35782.08544787725
577.9148108149966, 47339.25721693824
583.7083283376346, 60204.81397005834
590.5006682319978, 73288.38910249615
600.089875498754, 84409.44919251645
610.8777794326221, 86153.92088214784
617.0707709934294, 97056.93761938198
620.6667694772302, 110140.51275181978
623.2638083130039, 124096.3611892759
626.060675685397, 138052.20962673204
629.2571086134938, 152662.21309601507
630.4557137630711, 165745.81320192126
632.256778842378, 181302.23620396538
634.4543436399823, 195476.10302073925
636.2522971231155, 210522.2431425314
638.8493359588892, 224696.1599062421
640.2477696450857, 239960.34338082044
645.0423732784639, 251953.6518023906
650.4363252453978, 240178.411707075
651.834713172827, 226004.49494336435
654.0323237291987, 211176.42314782672
655.4307116566279, 194821.94798891235
656.4296255458877, 180866.09955145622
658.0277504924018, 165819.95942966407
659.4262756961327, 151646.0676394218
661.2241834204987, 136599.9275176296
662.2230515509912, 123516.35238519176
663.0220911448645, 110432.72730581714
664.820090386765, 95822.67388959725
666.6180896286653, 80994.62706752811
668.216351851481, 65430.48726374184
670.8133906872548, 49512.0988103998
674.0097778565845, 34902.07036764837
678.8044272487299, 21600.40193548754
685.1972015873891, 11351.590177017104
694.3868432984416, 7426.510145245297
703.5765765270284, 6336.218460909172
