Wavelength,y
665.165392024701, 23034.767666257572
670.1598195269255, 41914.64217897885
675.5384689997904, 68765.93310299967
680.5328506904052, 91841.29915329203
688.9849094355134, 99812.76559340736
697.4369681806214, 100232.33225725
702.0471737122059, 87645.7575869051
707.8099993441012, 74220.12463209864
711.6518525576248, 62892.22493887375
722.0248837211043, 56598.92509649742
727.0192654117193, 44431.94210440306
732.7820910436144, 31845.39244846606
745.0760030022462, 21356.60106851861
746.6127992615874, 8770.001383765812
751.6071809522023, 1218.1016074930749
