x, y
497.1647718210471, 4644.365869241434
514.4318426461591, 5163.1147552882185
532.332580880271, 4990.19845993929
547.5403241436675, 5681.8636413349095
562.9063927417795, 5163.1147552882185
577.480468596176, 5508.947345986075
591.2624144305553, 5854.779936683837
605.678119191469, 6373.528822730622
620.4105203805809, 6027.696232032766
633.7173071757445, 7411.026594824097
646.2319181921239, 8102.641829282897
659.5387507460548, 6546.445118079457
673.0039086347014, 4990.19845993929
687.1026881735805, 4990.19845993929
700.8482557879889, 5409.103419237805
